// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 8 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\5906f71b-f309-48b3-b226-84c415e579d9
// command took 1.69s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\5906f71b-f309-48b3-b226-84c415e579d9
// command took 3.39s and exited with 0
// ***** Done, took 00:00:05 (5.24 sec)   *****
// Found 8 benchmarks:
//   Runner.TestStruct: DefaultJob [N=1000]
//   Runner.TestStructObject: DefaultJob [N=1000]
//   Runner.TestClass: DefaultJob [N=1000]
//   Runner.TestStructAndInterface: DefaultJob [N=1000]
//   Runner.TestStruct: DefaultJob [N=10000]
//   Runner.TestStructObject: DefaultJob [N=10000]
//   Runner.TestClass: DefaultJob [N=10000]
//   Runner.TestStructAndInterface: DefaultJob [N=10000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Runner.TestStruct: DefaultJob [N=1000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "5906f71b-f309-48b3-b226-84c415e579d9.dll" --benchmarkName "BoxingBenchmark.Runner.TestStruct(N: 1000)" --job "Default" --benchmarkId 0 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\5906f71b-f309-48b3-b226-84c415e579d9\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadActual   7: 4096 op, 855331600.00 ns, 208.8212 us/op
WorkloadActual   8: 4096 op, 864071200.00 ns, 210.9549 us/op
WorkloadActual   9: 4096 op, 865375100.00 ns, 211.2732 us/op
WorkloadActual  10: 4096 op, 859616200.00 ns, 209.8672 us/op
WorkloadActual  11: 4096 op, 865048800.00 ns, 211.1936 us/op
WorkloadActual  12: 4096 op, 861650600.00 ns, 210.3639 us/op
WorkloadActual  13: 4096 op, 866143900.00 ns, 211.4609 us/op
WorkloadActual  14: 4096 op, 868215800.00 ns, 211.9667 us/op
WorkloadActual  15: 4096 op, 861099000.00 ns, 210.2292 us/op

// AfterActualRun
WorkloadResult   1: 4096 op, 861062200.00 ns, 210.2203 us/op
WorkloadResult   2: 4096 op, 858880400.00 ns, 209.6876 us/op
WorkloadResult   3: 4096 op, 860275100.00 ns, 210.0281 us/op
WorkloadResult   4: 4096 op, 855323800.00 ns, 208.8193 us/op
WorkloadResult   5: 4096 op, 864063400.00 ns, 210.9530 us/op
WorkloadResult   6: 4096 op, 865367300.00 ns, 211.2713 us/op
WorkloadResult   7: 4096 op, 859608400.00 ns, 209.8653 us/op
WorkloadResult   8: 4096 op, 865041000.00 ns, 211.1917 us/op
WorkloadResult   9: 4096 op, 861642800.00 ns, 210.3620 us/op
WorkloadResult  10: 4096 op, 866136100.00 ns, 211.4590 us/op
WorkloadResult  11: 4096 op, 868208000.00 ns, 211.9648 us/op
WorkloadResult  12: 4096 op, 861091200.00 ns, 210.2273 us/op
GC:  443 1 0 1401716736 4096

// AfterAll

Mean = 210.5041 us, StdErr = 0.2556 us (0.12%); N = 12, StdDev = 0.8855 us
Min = 208.8193 us, Q1 = 209.9467 us, Median = 210.2947 us, Q3 = 211.2315 us, Max = 211.9648 us
IQR = 1.2848 us, LowerFence = 208.0196 us, UpperFence = 213.1586 us
ConfidenceInterval = [209.3699 us; 211.6384 us] (CI 99.9%), Margin = 1.1342 us (0.54% of Mean)
Skewness = -0.11, Kurtosis = 2, MValue = 2

// **************************
// Benchmark: Runner.TestStruct: DefaultJob [N=10000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "5906f71b-f309-48b3-b226-84c415e579d9.dll" --benchmarkName "BoxingBenchmark.Runner.TestStruct(N: 10000)" --job "Default" --benchmarkId 4 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\5906f71b-f309-48b3-b226-84c415e579d9\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 332100.00 ns, 332.1000 us/op
WorkloadJitting  1: 1 op, 8663000.00 ns, 8.6630 ms/op

OverheadJitting  2: 16 op, 257200.00 ns, 16.0750 us/op
WorkloadJitting  2: 16 op, 57267700.00 ns, 3.5792 ms/op

WorkloadPilot    1: 16 op, 55708500.00 ns, 3.4818 ms/op
WorkloadPilot    2: 32 op, 104329200.00 ns, 3.2603 ms/op
WorkloadPilot    3: 64 op, 206163600.00 ns, 3.2213 ms/op
WorkloadPilot    4: 128 op, 409815800.00 ns, 3.2017 ms/op
WorkloadPilot    5: 256 op, 818453000.00 ns, 3.1971 ms/op

OverheadWarmup   1: 256 op, 2300.00 ns, 8.9844 ns/op
OverheadWarmup   2: 256 op, 900.00 ns, 3.5156 ns/op
OverheadWarmup   3: 256 op, 800.00 ns, 3.1250 ns/op
OverheadWarmup   4: 256 op, 700.00 ns, 2.7344 ns/op
OverheadWarmup   5: 256 op, 1000.00 ns, 3.9063 ns/op
OverheadWarmup   6: 256 op, 700.00 ns, 2.7344 ns/op
OverheadWarmup   7: 256 op, 900.00 ns, 3.5156 ns/op
OverheadWarmup   8: 256 op, 900.00 ns, 3.5156 ns/op

OverheadActual   1: 256 op, 1300.00 ns, 5.0781 ns/op
OverheadActual   2: 256 op, 1100.00 ns, 4.2969 ns/op
OverheadActual   3: 256 op, 1000.00 ns, 3.9063 ns/op
OverheadActual   4: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual   5: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual   6: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual   7: 256 op, 700.00 ns, 2.7344 ns/op
OverheadActual   8: 256 op, 700.00 ns, 2.7344 ns/op
OverheadActual   9: 256 op, 700.00 ns, 2.7344 ns/op
OverheadActual  10: 256 op, 600.00 ns, 2.3438 ns/op
OverheadActual  11: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  12: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual  13: 256 op, 700.00 ns, 2.7344 ns/op
OverheadActual  14: 256 op, 700.00 ns, 2.7344 ns/op
OverheadActual  15: 256 op, 1200.00 ns, 4.6875 ns/op
OverheadActual  16: 256 op, 1400.00 ns, 5.4688 ns/op
OverheadActual  17: 256 op, 1000.00 ns, 3.9063 ns/op
OverheadActual  18: 256 op, 1200.00 ns, 4.6875 ns/op
OverheadActual  19: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  20: 256 op, 700.00 ns, 2.7344 ns/op

WorkloadWarmup   1: 256 op, 786241500.00 ns, 3.0713 ms/op
WorkloadWarmup   2: 256 op, 773995200.00 ns, 3.0234 ms/op
WorkloadWarmup   3: 256 op, 772773900.00 ns, 3.0186 ms/op
WorkloadWarmup   4: 256 op, 795528700.00 ns, 3.1075 ms/op
WorkloadWarmup   5: 256 op, 801023400.00 ns, 3.1290 ms/op
WorkloadWarmup   6: 256 op, 806820000.00 ns, 3.1516 ms/op
WorkloadWarmup   7: 256 op, 792711000.00 ns, 3.0965 ms/op
WorkloadWarmup   8: 256 op, 805789500.00 ns, 3.1476 ms/op
WorkloadWarmup   9: 256 op, 818052400.00 ns, 3.1955 ms/op
WorkloadWarmup  10: 256 op, 801599300.00 ns, 3.1312 ms/op

// BeforeActualRun
WorkloadActual   1: 256 op, 823405100.00 ns, 3.2164 ms/op
WorkloadActual   2: 256 op, 800383000.00 ns, 3.1265 ms/op
WorkloadActual   3: 256 op, 814173800.00 ns, 3.1804 ms/op
WorkloadActual   4: 256 op, 798787300.00 ns, 3.1203 ms/op
WorkloadActual   5: 256 op, 806511100.00 ns, 3.1504 ms/op
WorkloadActual   6: 256 op, 823331500.00 ns, 3.2161 ms/op
WorkloadActual   7: 256 op, 780200500.00 ns, 3.0477 ms/op
WorkloadActual   8: 256 op, 801806800.00 ns, 3.1321 ms/op
WorkloadActual   9: 256 op, 799084900.00 ns, 3.1214 ms/op
WorkloadActual  10: 256 op, 818145500.00 ns, 3.1959 ms/op
WorkloadActual  11: 256 op, 799768100.00 ns, 3.1241 ms/op
WorkloadActual  12: 256 op, 816255200.00 ns, 3.1885 ms/op
WorkloadActual  13: 256 op, 824313500.00 ns, 3.2200 ms/op
WorkloadActual  14: 256 op, 817532300.00 ns, 3.1935 ms/op
WorkloadActual  15: 256 op, 815456200.00 ns, 3.1854 ms/op

// AfterActualRun
WorkloadResult   1: 256 op, 823404300.00 ns, 3.2164 ms/op
WorkloadResult   2: 256 op, 800382200.00 ns, 3.1265 ms/op
WorkloadResult   3: 256 op, 814173000.00 ns, 3.1804 ms/op
WorkloadResult   4: 256 op, 798786500.00 ns, 3.1203 ms/op
WorkloadResult   5: 256 op, 806510300.00 ns, 3.1504 ms/op
WorkloadResult   6: 256 op, 823330700.00 ns, 3.2161 ms/op
WorkloadResult   7: 256 op, 780199700.00 ns, 3.0477 ms/op
WorkloadResult   8: 256 op, 801806000.00 ns, 3.1321 ms/op
WorkloadResult   9: 256 op, 799084100.00 ns, 3.1214 ms/op
WorkloadResult  10: 256 op, 818144700.00 ns, 3.1959 ms/op
WorkloadResult  11: 256 op, 799767300.00 ns, 3.1241 ms/op
WorkloadResult  12: 256 op, 816254400.00 ns, 3.1885 ms/op
WorkloadResult  13: 256 op, 824312700.00 ns, 3.2200 ms/op
WorkloadResult  14: 256 op, 817531500.00 ns, 3.1935 ms/op
WorkloadResult  15: 256 op, 815455400.00 ns, 3.1854 ms/op
GC:  255 255 255 1067350016 256

// AfterAll

Mean = 3.1612 ms, StdErr = 0.0126 ms (0.40%); N = 15, StdDev = 0.0487 ms
Min = 3.0477 ms, Q1 = 3.1241 ms, Median = 3.1804 ms, Q3 = 3.1959 ms, Max = 3.2200 ms
IQR = 0.0718 ms, LowerFence = 3.0164 ms, UpperFence = 3.3036 ms
ConfidenceInterval = [3.1092 ms; 3.2133 ms] (CI 99.9%), Margin = 0.0520 ms (1.65% of Mean)
Skewness = -0.62, Kurtosis = 2.49, MValue = 2

// **************************
// Benchmark: Runner.TestStructObject: DefaultJob [N=10000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "5906f71b-f309-48b3-b226-84c415e579d9.dll" --benchmarkName "BoxingBenchmark.Runner.TestStructObject(N: 10000)" --job "Default" --benchmarkId 5 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\5906f71b-f309-48b3-b226-84c415e579d9\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 304700.00 ns, 304.7000 us/op
WorkloadJitting  1: 1 op, 4261300.00 ns, 4.2613 ms/op

OverheadJitting  2: 16 op, 414500.00 ns, 25.9063 us/op
WorkloadJitting  2: 16 op, 82676000.00 ns, 5.1673 ms/op

WorkloadPilot    1: 16 op, 68654200.00 ns, 4.2909 ms/op
WorkloadPilot    2: 32 op, 124227000.00 ns, 3.8821 ms/op
WorkloadPilot    3: 64 op, 270625400.00 ns, 4.2285 ms/op
WorkloadPilot    4: 128 op, 531085000.00 ns, 4.1491 ms/op

OverheadWarmup   1: 128 op, 2200.00 ns, 17.1875 ns/op
OverheadWarmup   2: 128 op, 700.00 ns, 5.4688 ns/op
OverheadWarmup   3: 128 op, 500.00 ns, 3.9063 ns/op
OverheadWarmup   4: 128 op, 500.00 ns, 3.9063 ns/op
OverheadWarmup   5: 128 op, 800.00 ns, 6.2500 ns/op
OverheadWarmup   6: 128 op, 600.00 ns, 4.6875 ns/op
OverheadWarmup   7: 128 op, 500.00 ns, 3.9063 ns/op
OverheadWarmup   8: 128 op, 500.00 ns, 3.9063 ns/op

OverheadActual   1: 128 op, 800.00 ns, 6.2500 ns/op
OverheadActual   2: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual   3: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual   4: 128 op, 800.00 ns, 6.2500 ns/op
OverheadActual   5: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual   6: 128 op, 500.00 ns, 3.9063 ns/op
OverheadActual   7: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual   8: 128 op, 500.00 ns, 3.9063 ns/op
OverheadActual   9: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual  10: 128 op, 500.00 ns, 3.9063 ns/op
OverheadActual  11: 128 op, 400.00 ns, 3.1250 ns/op
OverheadActual  12: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual  13: 128 op, 600.00 ns, 4.6875 ns/op
OverheadActual  14: 128 op, 500.00 ns, 3.9063 ns/op
OverheadActual  15: 128 op, 500.00 ns, 3.9063 ns/op
OverheadActual  16: 128 op, 700.00 ns, 5.4688 ns/op
OverheadActual  17: 128 op, 500.00 ns, 3.9063 ns/op
OverheadActual  18: 128 op, 900.00 ns, 7.0313 ns/op
OverheadActual  19: 128 op, 500.00 ns, 3.9063 ns/op
OverheadActual  20: 128 op, 500.00 ns, 3.9063 ns/op

WorkloadWarmup   1: 128 op, 522861100.00 ns, 4.0849 ms/op
WorkloadWarmup   2: 128 op, 508805200.00 ns, 3.9750 ms/op
WorkloadWarmup   3: 128 op, 509153800.00 ns, 3.9778 ms/op
WorkloadWarmup   4: 128 op, 512483800.00 ns, 4.0038 ms/op
WorkloadWarmup   5: 128 op, 489093700.00 ns, 3.8210 ms/op
WorkloadWarmup   6: 128 op, 508901500.00 ns, 3.9758 ms/op
WorkloadWarmup   7: 128 op, 489639700.00 ns, 3.8253 ms/op

// BeforeActualRun
WorkloadActual   1: 128 op, 507522600.00 ns, 3.9650 ms/op
WorkloadActual   2: 128 op, 502250700.00 ns, 3.9238 ms/op
WorkloadActual   3: 128 op, 505929700.00 ns, 3.9526 ms/op
WorkloadActual   4: 128 op, 501388900.00 ns, 3.9171 ms/op
WorkloadActual   5: 128 op, 499949100.00 ns, 3.9059 ms/op
WorkloadActual   6: 128 op, 494306900.00 ns, 3.8618 ms/op
WorkloadActual   7: 128 op, 495164700.00 ns, 3.8685 ms/op
WorkloadActual   8: 128 op, 499435100.00 ns, 3.9018 ms/op
WorkloadActual   9: 128 op, 509166500.00 ns, 3.9779 ms/op
WorkloadActual  10: 128 op, 502883700.00 ns, 3.9288 ms/op
WorkloadActual  11: 128 op, 499712200.00 ns, 3.9040 ms/op
WorkloadActual  12: 128 op, 494476600.00 ns, 3.8631 ms/op
WorkloadActual  13: 128 op, 504946400.00 ns, 3.9449 ms/op
WorkloadActual  14: 128 op, 491134900.00 ns, 3.8370 ms/op
WorkloadActual  15: 128 op, 495277100.00 ns, 3.8694 ms/op

// AfterActualRun
WorkloadResult   1: 128 op, 507522000.00 ns, 3.9650 ms/op
WorkloadResult   2: 128 op, 502250100.00 ns, 3.9238 ms/op
WorkloadResult   3: 128 op, 505929100.00 ns, 3.9526 ms/op
WorkloadResult   4: 128 op, 501388300.00 ns, 3.9171 ms/op
WorkloadResult   5: 128 op, 499948500.00 ns, 3.9058 ms/op
WorkloadResult   6: 128 op, 494306300.00 ns, 3.8618 ms/op
WorkloadResult   7: 128 op, 495164100.00 ns, 3.8685 ms/op
WorkloadResult   8: 128 op, 499434500.00 ns, 3.9018 ms/op
WorkloadResult   9: 128 op, 509165900.00 ns, 3.9779 ms/op
WorkloadResult  10: 128 op, 502883100.00 ns, 3.9288 ms/op
WorkloadResult  11: 128 op, 499711600.00 ns, 3.9040 ms/op
WorkloadResult  12: 128 op, 494476000.00 ns, 3.8631 ms/op
WorkloadResult  13: 128 op, 504945800.00 ns, 3.9449 ms/op
WorkloadResult  14: 128 op, 491134300.00 ns, 3.8370 ms/op
WorkloadResult  15: 128 op, 495276500.00 ns, 3.8693 ms/op
GC:  59 31 28 427777024 128

// AfterAll

Mean = 3.9081 ms, StdErr = 0.0108 ms (0.28%); N = 15, StdDev = 0.0419 ms
Min = 3.8370 ms, Q1 = 3.8685 ms, Median = 3.9058 ms, Q3 = 3.9449 ms, Max = 3.9779 ms
IQR = 0.0764 ms, LowerFence = 3.7538 ms, UpperFence = 4.0595 ms
ConfidenceInterval = [3.8633 ms; 3.9529 ms] (CI 99.9%), Margin = 0.0448 ms (1.15% of Mean)
Skewness = 0, Kurtosis = 1.72, MValue = 2

// **************************
// Benchmark: Runner.TestClass: DefaultJob [N=10000]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "5906f71b-f309-48b3-b226-84c415e579d9.dll" --benchmarkName "BoxingBenchmark.Runner.TestClass(N: 10000)" --job "Default" --benchmarkId 6 in C:\dev\BoxingBenchmark\src\BoxingBenchmark\bin\Release\netcoreapp2.2\5906f71b-f309-48b3-b226-84c415e579d9\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 388600.00 ns, 388.6000 us/op
WorkloadJitting  1: 1 op, 3179200.00 ns, 3.1792 ms/op

OverheadJitting  2: 16 op, 242900.00 ns, 15.1813 us/op
WorkloadJitting  2: 16 op, 48288200.00 ns, 3.0180 ms/op

WorkloadPilot    1: 16 op, 50667900.00 ns, 3.1667 ms/op
WorkloadPilot    2: 32 op, 94828200.00 ns, 2.9634 ms/op
WorkloadPilot    3: 64 op, 181456800.00 ns, 2.8353 ms/op
WorkloadPilot    4: 128 op, 359214100.00 ns, 2.8064 ms/op
WorkloadPilot    5: 256 op, 725395300.00 ns, 2.8336 ms/op

OverheadWarmup   1: 256 op, 2500.00 ns, 9.7656 ns/op
OverheadWarmup   2: 256 op, 900.00 ns, 3.5156 ns/op
OverheadWarmup   3: 256 op, 800.00 ns, 3.1250 ns/op
OverheadWarmup   4: 256 op, 700.00 ns, 2.7344 ns/op
OverheadWarmup   5: 256 op, 1100.00 ns, 4.2969 ns/op
OverheadWarmup   6: 256 op, 16100.00 ns, 62.8906 ns/op
OverheadWarmup   7: 256 op, 800.00 ns, 3.1250 ns/op
OverheadWarmup   8: 256 op, 1000.00 ns, 3.9063 ns/op
OverheadWarmup   9: 256 op, 1200.00 ns, 4.6875 ns/op
OverheadWarmup  10: 256 op, 900.00 ns, 3.5156 ns/op

OverheadActual   1: 256 op, 1600.00 ns, 6.2500 ns/op
OverheadActual   2: 256 op, 1400.00 ns, 5.4688 ns/op
OverheadActual   3: 256 op, 1000.00 ns, 3.9063 ns/op
OverheadActual   4: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual   5: 256 op, 1200.00 ns, 4.6875 ns/op
OverheadActual   6: 256 op, 2000.00 ns, 7.8125 ns/op
OverheadActual   7: 256 op, 1300.00 ns, 5.0781 ns/op
OverheadActual   8: 256 op, 1200.00 ns, 4.6875 ns/op
OverheadActual   9: 256 op, 1000.00 ns, 3.9063 ns/op
OverheadActual  10: 256 op, 900.00 ns, 3.5156 ns/op
OverheadActual  11: 256 op, 1000.00 ns, 3.9063 ns/op
OverheadActual  12: 256 op, 2100.00 ns, 8.2031 ns/op
OverheadActual  13: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  14: 256 op, 700.00 ns, 2.7344 ns/op
OverheadActual  15: 256 op, 600.00 ns, 2.3438 ns/op
OverheadActual  16: 256 op, 600.00 ns, 2.3438 ns/op
OverheadActual  17: 256 op, 600.00 ns, 2.3438 ns/op
OverheadActual  18: 256 op, 700.00 ns, 2.7344 ns/op
OverheadActual  19: 256 op, 700.00 ns, 2.7344 ns/op
OverheadActual  20: 256 op, 600.00 ns, 2.3438 ns/op

WorkloadWarmup   1: 256 op, 727219700.00 ns, 2.8407 ms/op
WorkloadWarmup   2: 256 op, 721070800.00 ns, 2.8167 ms/op
WorkloadWarmup   3: 256 op, 729554600.00 ns, 2.8498 ms/op
WorkloadWarmup   4: 256 op, 726035400.00 ns, 2.8361 ms/op
WorkloadWarmup   5: 256 op, 701979400.00 ns, 2.7421 ms/op
WorkloadWarmup   6: 256 op, 738205200.00 ns, 2.8836 ms/op
WorkloadWarmup   7: 256 op, 848957400.00 ns, 3.3162 ms/op
WorkloadWarmup   8: 256 op, 860073100.00 ns, 3.3597 ms/op
WorkloadWarmup   9: 256 op, 881248000.00 ns, 3.4424 ms/op
WorkloadWarmup  10: 256 op, 834796900.00 ns, 3.2609 ms/op

// BeforeActualRun
WorkloadActual   1: 256 op, 788498900.00 ns, 3.0801 ms/op
WorkloadActual   2: 256 op, 775314500.00 ns, 3.0286 ms/op
WorkloadActual   3: 256 op, 794593100.00 ns, 3.1039 ms/op
WorkloadActual   4: 256 op, 871854300.00 ns, 3.4057 ms/op
WorkloadActual   5: 256 op, 868115200.00 ns, 3.3911 ms/op
WorkloadActual   6: 256 op, 902649900.00 ns, 3.5260 ms/op
WorkloadActual   7: 256 op, 855026300.00 ns, 3.3399 ms/op
WorkloadActual   8: 256 op, 833458700.00 ns, 3.2557 ms/op
WorkloadActual   9: 256 op, 802278700.00 ns, 3.1339 ms/op
WorkloadActual  10: 256 op, 829593000.00 ns, 3.2406 ms/op
WorkloadActual  11: 256 op, 808175500.00 ns, 3.1569 ms/op
WorkloadActual  12: 256 op, 737059000.00 ns, 2.8791 ms/op
WorkloadActual  13: 256 op, 719756200.00 ns, 2.8115 ms/op
WorkloadActual  14: 256 op, 743717200.00 ns, 2.9051 ms/op
WorkloadActual  15: 256 op, 726172000.00 ns, 2.8366 ms/op
WorkloadActual  16: 256 op, 746771200.00 ns, 2.9171 ms/op
WorkloadActual  17: 256 op, 715506500.00 ns, 2.7949 ms/op
WorkloadActual  18: 256 op, 720027500.00 ns, 2.8126 ms/op
WorkloadActual  19: 256 op, 744007100.00 ns, 2.9063 ms/op
WorkloadActual  20: 256 op, 762263700.00 ns, 2.9776 ms/op
WorkloadActual  21: 256 op, 745427300.00 ns, 2.9118 ms/op
WorkloadActual  22: 256 op, 725153400.00 ns, 2.8326 ms/op
WorkloadActual  23: 256 op, 726682300.00 ns, 2.8386 ms/op
WorkloadActual  24: 256 op, 715380300.00 ns, 2.7945 ms/op
WorkloadActual  25: 256 op, 768958900.00 ns, 3.0037 ms/op
WorkloadActual  26: 256 op, 751009200.00 ns, 2.9336 ms/op
WorkloadActual  27: 256 op, 815872300.00 ns, 3.1870 ms/op
WorkloadActual  28: 256 op, 747134400.00 ns, 2.9185 ms/op
WorkloadActual  29: 256 op, 737229700.00 ns, 2.8798 ms/op
WorkloadActual  30: 256 op, 712526500.00 ns, 2.7833 ms/op
WorkloadActual  31: 256 op, 712878900.00 ns, 2.7847 ms/op
WorkloadActual  32: 256 op, 711699600.00 ns, 2.7801 ms/op
WorkloadActual  33: 256 op, 709211000.00 ns, 2.7704 ms/op
WorkloadActual  34: 256 op, 706752000.00 ns, 2.7608 ms/op
WorkloadActual  35: 256 op, 717432200.00 ns, 2.8025 ms/op
WorkloadActual  36: 256 op, 710741600.00 ns, 2.7763 ms/op
WorkloadActual  37: 256 op, 708920100.00 ns, 2.7692 ms/op
WorkloadActual  38: 256 op, 739254700.00 ns, 2.8877 ms/op
WorkloadActual  39: 256 op, 711847800.00 ns, 2.7807 ms/op
WorkloadActual  40: 256 op, 707303000.00 ns, 2.7629 ms/op
WorkloadActual  41: 256 op, 711820500.00 ns, 2.7805 ms/op
WorkloadActual  42: 256 op, 720461000.00 ns, 2.8143 ms/op
WorkloadActual  43: 256 op, 709888700.00 ns, 2.7730 ms/op
WorkloadActual  44: 256 op, 708525700.00 ns, 2.7677 ms/op
WorkloadActual  45: 256 op, 753978200.00 ns, 2.9452 ms/op
WorkloadActual  46: 256 op, 726611300.00 ns, 2.8383 ms/op
WorkloadActual  47: 256 op, 751326600.00 ns, 2.9349 ms/op
WorkloadActual  48: 256 op, 712630700.00 ns, 2.7837 ms/op
WorkloadActual  49: 256 op, 730055800.00 ns, 2.8518 ms/op
WorkloadActual  50: 256 op, 711682000.00 ns, 2.7800 ms/op
WorkloadActual  51: 256 op, 713176400.00 ns, 2.7858 ms/op
WorkloadActual  52: 256 op, 710558700.00 ns, 2.7756 ms/op
WorkloadActual  53: 256 op, 744653600.00 ns, 2.9088 ms/op
WorkloadActual  54: 256 op, 717712600.00 ns, 2.8036 ms/op
WorkloadActual  55: 256 op, 736038700.00 ns, 2.8752 ms/op

// AfterActualRun
WorkloadResult   1: 256 op, 788497950.00 ns, 3.0801 ms/op
WorkloadResult   2: 256 op, 775313550.00 ns, 3.0286 ms/op
WorkloadResult   3: 256 op, 794592150.00 ns, 3.1039 ms/op
WorkloadResult   4: 256 op, 833457750.00 ns, 3.2557 ms/op
WorkloadResult   5: 256 op, 802277750.00 ns, 3.1339 ms/op
WorkloadResult   6: 256 op, 829592050.00 ns, 3.2406 ms/op
WorkloadResult   7: 256 op, 808174550.00 ns, 3.1569 ms/op
WorkloadResult   8: 256 op, 737058050.00 ns, 2.8791 ms/op
WorkloadResult   9: 256 op, 719755250.00 ns, 2.8115 ms/op
WorkloadResult  10: 256 op, 743716250.00 ns, 2.9051 ms/op
WorkloadResult  11: 256 op, 726171050.00 ns, 2.8366 ms/op
WorkloadResult  12: 256 op, 746770250.00 ns, 2.9171 ms/op
WorkloadResult  13: 256 op, 715505550.00 ns, 2.7949 ms/op
WorkloadResult  14: 256 op, 720026550.00 ns, 2.8126 ms/op
WorkloadResult  15: 256 op, 744006150.00 ns, 2.9063 ms/op
WorkloadResult  16: 256 op, 762262750.00 ns, 2.9776 ms/op
WorkloadResult  17: 256 op, 745426350.00 ns, 2.9118 ms/op
WorkloadResult  18: 256 op, 725152450.00 ns, 2.8326 ms/op
WorkloadResult  19: 256 op, 726681350.00 ns, 2.8386 ms/op
WorkloadResult  20: 256 op, 715379350.00 ns, 2.7945 ms/op
WorkloadResult  21: 256 op, 768957950.00 ns, 3.0037 ms/op
WorkloadResult  22: 256 op, 751008250.00 ns, 2.9336 ms/op
WorkloadResult  23: 256 op, 815871350.00 ns, 3.1870 ms/op
WorkloadResult  24: 256 op, 747133450.00 ns, 2.9185 ms/op
WorkloadResult  25: 256 op, 737228750.00 ns, 2.8798 ms/op
WorkloadResult  26: 256 op, 712525550.00 ns, 2.7833 ms/op
WorkloadResult  27: 256 op, 712877950.00 ns, 2.7847 ms/op
WorkloadResult  28: 256 op, 711698650.00 ns, 2.7801 ms/op
WorkloadResult  29: 256 op, 709210050.00 ns, 2.7704 ms/op
WorkloadResult  30: 256 op, 706751050.00 ns, 2.7607 ms/op
WorkloadResult  31: 256 op, 717431250.00 ns, 2.8025 ms/op
WorkloadResult  32: 256 op, 710740650.00 ns, 2.7763 ms/op
WorkloadResult  33: 256 op, 708919150.00 ns, 2.7692 ms/op
WorkloadResult  34: 256 op, 739253750.00 ns, 2.8877 ms/op
WorkloadResult  35: 256 op, 711846850.00 ns, 2.7807 ms/op
WorkloadResult  36: 256 op, 707302050.00 ns, 2.7629 ms/op
